{'loss': 1.7891, 'grad_norm': 9.65167808453405, 'learning_rate': 2e-05, 'epoch': 1.0}
{'loss': 2.4844, 'grad_norm': 10.625020345698024, 'learning_rate': 2e-05, 'epoch': 1.0}
{'loss': 2.2188, 'grad_norm': 7.902584388995808, 'learning_rate': 2e-05, 'epoch': 1.0}
{'loss': 2.4531, 'grad_norm': 10.901665960028515, 'learning_rate': 2e-05, 'epoch': 1.01}
{'loss': 2.3438, 'grad_norm': 9.05337853691328, 'learning_rate': 2e-05, 'epoch': 1.01}
{'loss': 2.3125, 'grad_norm': 8.254998435056065, 'learning_rate': 2e-05, 'epoch': 1.02}
{'loss': 2.3281, 'grad_norm': 8.768545684706751, 'learning_rate': 2e-05, 'epoch': 1.02}
{'loss': 2.2656, 'grad_norm': 8.373795123781917, 'learning_rate': 2e-05, 'epoch': 1.03}
{'loss': 1.8125, 'grad_norm': 8.548745124013072, 'learning_rate': 2e-05, 'epoch': 1.03}
{'loss': 2.0312, 'grad_norm': 8.535538036759796, 'learning_rate': 2e-05, 'epoch': 1.04}
{'loss': 2.1719, 'grad_norm': 8.366015394772985, 'learning_rate': 2e-05, 'epoch': 1.04}
{'loss': 1.7812, 'grad_norm': 8.518072989589701, 'learning_rate': 2e-05, 'epoch': 1.04}
{'loss': 1.6328, 'grad_norm': 9.11628292481581, 'learning_rate': 2e-05, 'epoch': 1.05}
{'loss': 1.7188, 'grad_norm': 8.322607842007608, 'learning_rate': 2e-05, 'epoch': 1.05}
{'loss': 2.2812, 'grad_norm': 8.64988707997555, 'learning_rate': 2e-05, 'epoch': 1.06}
{'loss': 2.0625, 'grad_norm': 7.7433121391835495, 'learning_rate': 2e-05, 'epoch': 1.06}
{'loss': 2.125, 'grad_norm': 8.983025232189917, 'learning_rate': 2e-05, 'epoch': 1.07}
{'loss': 2.25, 'grad_norm': 8.622648761008627, 'learning_rate': 2e-05, 'epoch': 1.07}
{'loss': 2.3125, 'grad_norm': 8.751240116824247, 'learning_rate': 2e-05, 'epoch': 1.08}
{'loss': 1.9609, 'grad_norm': 8.083581976976605, 'learning_rate': 2e-05, 'epoch': 1.08}
{'loss': 1.9453, 'grad_norm': 9.190327899813258, 'learning_rate': 2e-05, 'epoch': 1.08}
{'loss': 2.1562, 'grad_norm': 9.878489615727968, 'learning_rate': 2e-05, 'epoch': 1.09}
{'loss': 2.2188, 'grad_norm': 8.023213764012711, 'learning_rate': 2e-05, 'epoch': 1.09}
{'loss': 1.8672, 'grad_norm': 8.742811866505932, 'learning_rate': 2e-05, 'epoch': 1.1}
{'loss': 2.1094, 'grad_norm': 9.91459591503846, 'learning_rate': 2e-05, 'epoch': 1.1}
{'loss': 2.0781, 'grad_norm': 8.425761248418882, 'learning_rate': 2e-05, 'epoch': 1.11}
{'loss': 2.1719, 'grad_norm': 9.625495250064247, 'learning_rate': 2e-05, 'epoch': 1.11}
{'loss': 2.0781, 'grad_norm': 8.388029024376394, 'learning_rate': 2e-05, 'epoch': 1.12}
